,name,appid,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
1836,magicbarragebitferno,335150.0,2015-01-01,1.0,Gameguyz,Gameguyz,windows,0.0,Single-player;Multi-player;MMO;Co-op,Free to Play,Free to Play;MMORPG;Pixel Graphics,0.0,229.0,437.0,9.0,13.0,200000-500000,0.0
1837,spartansvszombiesdefense,340460.0,2015-01-06,1.0,Lei,Lei,windows;mac;linux,0.0,Single-player;Steam Achievements,Action;Casual;Free to Play;Indie;Strategy,Free to Play;Indie;Casual,8.0,328.0,399.0,0.0,0.0,100000-200000,0.0
1839,supercratebox,212800.0,2012-08-29,1.0,Vlambeer,Vlambeer,windows;mac;linux,0.0,Single-player,Action;Free to Play;Indie,Free to Play;Indie;Platformer,0.0,5951.0,702.0,34.0,39.0,1000000-2000000,0.0
1840,victoriaii,42960.0,2010-08-30,1.0,Paradox Development Studio,Paradox Interactive,windows,0.0,Single-player;Multi-player;Steam Trading Cards,Strategy,Grand Strategy;Strategy;Historical,0.0,4743.0,632.0,2580.0,4888.0,500000-1000000,14.99
1842,marchoftheeagles,227760.0,2013-02-18,1.0,Paradox Development Studio,Paradox Interactive,windows,0.0,Single-player;Multi-player;Steam Trading Cards,Simulation;Strategy,Strategy;Grand Strategy;Simulation,0.0,143.0,65.0,0.0,0.0,50000-100000,14.99
1843,elsword,237310.0,2014-07-02,1.0,KOG,KOG Games,windows,0.0,Single-player;Multi-player;MMO;Co-op,Action;Adventure;Casual;Free to Play;Massively Multiplayer;RPG,Free to Play;Anime;RPG,0.0,4755.0,1511.0,796.0,54.0,1000000-2000000,0.0
1844,grotesquetacticsevilheroes,46450.0,2010-10-15,1.0,Silent Dreams,Headup,windows,0.0,Single-player;Steam Achievements,Indie;RPG;Strategy,RPG;Strategy;Indie,10.0,217.0,140.0,20.0,20.0,100000-200000,6.99
1845,kingsbountywarriorsofthenorth,203350.0,2012-10-25,1.0,1C-SoftClub,1C Entertainment,windows;mac,0.0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,RPG;Strategy,RPG;Strategy;Turn-Based Strategy,64.0,727.0,156.0,593.0,798.0,200000-500000,6.99
1846,kingsbountylegions,235400.0,2013-12-10,1.0,Nival,Nival,windows,0.0,Single-player;Multi-player;Cross-Platform Multiplayer,Adventure;Free to Play;Indie;Massively Multiplayer;RPG;Strategy,Free to Play;Strategy;RPG,0.0,617.0,577.0,19.0,19.0,200000-500000,0.0
1849,bleed,239800.0,2013-07-03,1.0,Ian Campbell,Ian Campbell,windows;mac;linux,0.0,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action;Indie,Action;Indie;Platformer,32.0,1635.0,120.0,132.0,171.0,100000-200000,3.99
1850,breachclear,266130.0,2014-03-21,1.0,Mighty Rabbit Studios;Gun.,Good Shepherd Entertainment;Devolver Digital,windows;mac;linux,0.0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;RPG;Simulation;Strategy,Strategy;Tactical;Turn-Based Strategy,64.0,1626.0,349.0,67.0,67.0,200000-500000,10.99
1851,deadpixels,222980.0,2012-12-07,1.0,CSR-Studios,CSR-Studios,windows,0.0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support,Action;Indie;RPG,Zombies;Action;Indie,30.0,2005.0,309.0,117.0,85.0,200000-500000,1.99
1852,fieldrunners,209690.0,2012-05-24,1.0,Subatomic Studios LLC,Subatomic Studios LLC,windows;mac,0.0,Single-player,Strategy;Indie;Casual,Tower Defense;Strategy;Indie,93.0,124.0,79.0,130.0,130.0,100000-200000,3.99
1853,thelegendofheroestrailsinthesky,251150.0,2014-07-29,1.0,Nihon Falcom,"XSEED Games;Marvelous USA, Inc.",windows,0.0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,RPG,JRPG;RPG;Anime,27.0,3413.0,318.0,3755.0,3755.0,200000-500000,12.99
1854,tomclancysrainbowsixsiege,359550.0,2015-12-01,1.0,Ubisoft Montreal,Ubisoft,windows,0.0,Single-player;Multi-player;Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,Action,FPS;Multiplayer;Tactical,0.0,251178.0,59620.0,7504.0,2543.0,5000000-10000000,16.99
1855,trappeddead,46540.0,2011-07-15,1.0,Headup Games / Crenetic,Headup Games ,windows,0.0,Single-player;Multi-player;Co-op;Steam Trading Cards,Action;Strategy,Zombies;Strategy;Action,0.0,258.0,410.0,142.0,157.0,100000-200000,3.99
1856,xbeyondthefrontier,2840.0,2010-10-08,1.0,Egosoft,Egosoft,windows,0.0,Single-player;Steam Cloud,Simulation;Strategy,Simulation;Space;Strategy,0.0,142.0,48.0,648.0,648.0,200000-500000,3.49
1857,xtension,2850.0,2010-10-08,1.0,Egosoft,Egosoft,windows,0.0,Single-player;Steam Cloud,Simulation;Strategy,Simulation;Strategy;Space,0.0,57.0,18.0,13.0,13.0,20000-50000,3.49
1858,mortalonline,287920.0,2015-08-31,1.0,Star Vault AB,Star Vault AB,windows,0.0,MMO;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Turn Notifications,Action;Free to Play;Indie;Massively Multiplayer;RPG,Free to Play;Open World;Massively Multiplayer,49.0,1362.0,1326.0,106.0,118.0,500000-1000000,0.0
1859,hurtworld,393420.0,2015-12-03,1.0,Bankroll Studios,Bankroll Studios,windows;mac,0.0,Multi-player;Co-op;Cross-Platform Multiplayer,Action;Adventure;Simulation;Early Access,Early Access;Survival;Open World,0.0,15574.0,5362.0,5439.0,7099.0,500000-1000000,19.49
1861,trialsfusion,245490.0,2014-04-24,1.0,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",Ubisoft,windows,0.0,Single-player;Multi-player;In-App Purchases;Partial Controller Support,Racing,Racing;Multiplayer;Singleplayer,0.0,1141.0,615.0,418.0,480.0,200000-500000,16.99
1862,visceracleanupdetail,246900.0,2015-10-23,1.0,RuneStorm,RuneStorm,windows;mac,0.0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,Indie;Simulation,Simulation;Gore;Multiplayer,85.0,6753.0,580.0,589.0,580.0,500000-1000000,9.99
1863,visceracleanupdetailsantasrampage,265210.0,2013-12-13,1.0,RuneStorm,RuneStorm,windows,0.0,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Gore;Indie;Simulation,Simulation;Gore;Indie,13.0,3645.0,395.0,140.0,183.0,500000-1000000,1.79
1865,disciplesiiiresurrection,200670.0,2011-10-11,1.0,Akella;.dat,Kalypso Media Digital,windows,0.0,Single-player,Strategy,Strategy;Turn-Based;RPG,0.0,54.0,101.0,0.0,0.0,100000-200000,9.99
1866,epigenesis,244590.0,2014-08-01,1.0,Dead Shark Triplepunch,Dead Shark Triplepunch,windows,0.0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Indie;Sports,Action;Sports;Indie,11.0,807.0,418.0,139.0,158.0,200000-500000,0.0
1867,notimetoexplainremastered,368730.0,2015-07-17,1.0,tinyBuild,tinyBuild,windows;mac;linux,0.0,Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,Action;Adventure;Casual;Indie,Indie;Casual;Action,9.0,1550.0,398.0,139.0,184.0,500000-1000000,10.99
